show_id,type,title,director,cast,country,primary_country,date_added,added_year,added_month,release_year,rating,rating_score,duration,duration_numeric,duration_unit,listed_in,primary_genre,description
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown Director,Unknown Cast,Italy,Italy,2021-09-24,2021,September,2021,TV-MA,9.4,1 Seasons,1,Seasons,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,This docuseries examines the true story behind two of Sicily's most prominent anti-Mafia figures.
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying",Thailand,Thailand,2021-09-23,2021,September,2021,TV-MA,6.6,1 Seasons,1,Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows,Newly arrived in Bangkok a wrestler teams up with a reporter to unravel a city-wide conspiracy.
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel",Germany,Germany,2021-09-23,2021,September,2021,TV-MA,7.4,127 Minutes,127,Minutes,"Dramas, International Movies",Dramas,After her family is murdered in a bombing a young woman is lured into joining the very group responsible.
s14,TV Show,Crime Stories: India Detectives,Unknown Director,Unknown Cast,India,India,2021-09-22,2021,September,2021,TV-MA,8.6,1 Seasons,1,Seasons,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows,Cameras follow Bengaluru police on the job offering a rare look into four major crime investigations.
s15,TV Show,Dear White People,Justin Simien,"Logan Browning, Brandon P. Bell, DeRon Horton",United States,United States,2021-09-22,2021,September,2021,TV-MA,7.8,4 Seasons,4,Seasons,"TV Comedies, TV Dramas",TV Comedies,Students of color navigate the daily slights and politics of life at an Ivy League college.
s16,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes",Brazil,Brazil,2021-09-22,2021,September,2021,TV-PG,7.1,91 Minutes,91,Minutes,"Children & Family Movies, Comedies",Children & Family Movies,When clever Tetê joins a new school she will do anything to fit in with her classmates.
s17,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke",United States,United States,2021-09-22,2021,September,2021,TV-14,8.0,93 Minutes,93,Minutes,Thrillers,Thrillers,After a deadly home invasion at a couple's new dream home the traumatized wife searches for answers.
s18,TV Show,Jaguar,Unknown Director,"Blanca Suárez, Iván Marcos, Francesc Garrido",Spain,Spain,2021-09-22,2021,September,2021,TV-MA,8.8,1 Seasons,1,Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",International TV Shows,In the 1960s a Holocaust survivor joins a group seeking justice against Nazis who fled to Spain.
s19,Movie,Europe's Most Dangerous Man,Pedro de Echave García,Unknown Cast,Spain,Spain,2021-09-22,2021,September,2020,TV-MA,6.9,67 Minutes,67,Minutes,"Documentaries, International Movies",Documentaries,Declassified documents shed light on the post-WWII life of Otto Skorzeny in Spain.
s20,TV Show,Resurrection: Ertugrul,Unknown Director,"Engin Altan Düzyatan, Serdar Gökhan, Esra Bilgiç",Turkey,Turkey,2021-09-22,2021,September,2018,TV-14,7.9,5 Seasons,5,Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",International TV Shows,When a good deed endangers his clan a 13th-century Ottoman warrior agrees to fight the sultan's enemies.
s21,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy",United States,United States,2021-09-15,2021,September,2010,PG-13,7.1,148 Minutes,148,Minutes,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",Action & Adventure,A thief who steals corporate secrets through dream-sharing is given the task of planting an idea.
s22,Movie,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",United States,United States,2021-08-01,2021,August,2008,PG-13,6.8,152 Minutes,152,Minutes,"Action & Adventure, Dramas",Action & Adventure,When the Joker wreaks havoc on Gotham Batman must accept one of the greatest tests of his ability.
s23,TV Show,Stranger Things,The Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",United States,United States,2022-05-27,2022,May,2022,TV-14,8.6,4 Seasons,4,Seasons,"Sci-Fi & Fantasy, TV Dramas, TV Horror",Sci-Fi & Fantasy,When a young boy vanishes a small town uncovers a mystery involving supernatural forces.
s24,TV Show,Squid Game,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Jung Ho-yeon",South Korea,South Korea,2021-09-17,2021,September,2021,TV-MA,7.1,1 Seasons,1,Seasons,"International TV Shows, TV Dramas, TV Thrillers",International TV Shows,Hundreds of cash-strapped players accept a strange invitation to compete in children's games with deadly stakes.
s25,Movie,Roma,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",Mexico,Mexico,2018-12-14,2018,December,2018,R,7.6,135 Minutes,135,Minutes,"Dramas, Independent Movies, International Movies",Dramas,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
s26,Movie,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",United States,United States,2020-12-01,2020,December,2014,PG-13,8.6,169 Minutes,169,Minutes,"Action & Adventure, Dramas, Sci-Fi & Fantasy",Action & Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
s27,TV Show,Money Heist,Álex Pina,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",Spain,Spain,2021-12-03,2021,December,2021,TV-MA,7.7,5 Seasons,5,Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history.
s28,Movie,Spirited Away,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki",Japan,Japan,2020-03-01,2020,March,2001,PG,6.6,125 Minutes,125,Minutes,"Anime Features, Children & Family Movies, Sci-Fi & Fantasy",Anime Features,A 10-year-old girl wanders into a world ruled by gods witches and spirits.
s29,TV Show,Breaking Bad,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris",United States,United States,2013-08-02,2013,August,2013,TV-MA,7.4,5 Seasons,5,Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Crime TV Shows,A chemistry teacher diagnosed with cancer turns to manufacturing methamphetamine with a former student.
s30,Movie,Parasite,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik",South Korea,South Korea,2019-10-11,2019,October,2019,R,7.7,132 Minutes,132,Minutes,"Comedies, Dramas, International Movies, Thrillers",Comedies,Greed and class discrimination threaten the symbiotic relationship between two contrasting families.
s31,Movie,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",United States,United States,2019-11-27,2019,November,2019,R,9.3,209 Minutes,209,Minutes,"Crime TV Shows, Dramas",Crime TV Shows,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino family.
s32,Movie,Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda",United States,United States,2020-04-24,2020,April,2020,R,6.8,117 Minutes,117,Minutes,Action & Adventure,Action & Adventure,A hardened mercenary's mission becomes a race to survive when sent to rescue a kidnapped son.
s33,Movie,Bird Box,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich",United States,United States,2018-12-21,2018,December,2018,R,7.9,124 Minutes,124,Minutes,"Dramas, Sci-Fi & Fantasy, Thrillers",Dramas,Years after an unseen presence drives society to suicide a mother and children seek sanctuary.
s34,TV Show,Dark,Baran bo Odar,"Louis Hofmann, Oliver Masucci, Jördis Triebel",Germany,Germany,2020-06-27,2020,June,2020,TV-MA,7.9,3 Seasons,3,Seasons,"Crime TV Shows, International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Crime TV Shows,A family saga with a supernatural twist set in a German town with mysterious disappearances.
s35,Movie,Marriage Story,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern",United States,United States,2019-12-06,2019,December,2019,R,8.6,137 Minutes,137,Minutes,"Comedies, Dramas, Independent Movies",Comedies,An incisive and compassionate look at a marriage breaking up and a family staying together.
s36,TV Show,The Crown,Peter Morgan,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",United Kingdom,United Kingdom,2020-11-15,2020,November,2020,TV-MA,8.8,4 Seasons,4,Seasons,"British TV Shows, TV Dramas, TV Historical",British TV Shows,Follows the political rivalries and romance of Queen Elizabeth II's reign.
s37,Movie,Red Notice,Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot",United States,United States,2021-11-12,2021,November,2021,PG-13,7.1,118 Minutes,118,Minutes,"Action & Adventure, Comedies",Action & Adventure,An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner.
s38,Movie,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",India,India,2017-06-21,2017,June,2016,TV-PG,7.8,161 Minutes,161,Minutes,"Action & Adventure, Dramas, International Movies, Sports Movies",Action & Adventure,A former wrestler trains his daughters to win gold at the Commonwealth Games.
s39,TV Show,Sacred Games,Vikramaditya Motwane,"Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte",India,India,2019-08-15,2019,August,2019,TV-MA,9.4,2 Seasons,2,Seasons,"Crime TV Shows, International TV Shows, TV Dramas, TV Thrillers",Crime TV Shows,A link in their pasts leads an honest cop to a fugitive gang boss trying to save Mumbai.
s40,TV Show,The Queen's Gambit,Scott Frank,"Anya Taylor-Joy, Bill Camp, Marielle Heller",United States,United States,2020-10-23,2020,October,2020,TV-MA,8.6,1 Seasons,1,Seasons,TV Dramas,TV Dramas,Orphaned at nine prodigious introvert Beth Harmon discovers and masters the game of chess.
s41,Movie,The Social Dilemma,Jeff Orlowski,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",United States,United States,2020-09-09,2020,September,2020,PG-13,8.5,94 Minutes,94,Minutes,Documentaries,Documentaries,Explores the dangerous human impact of social networking with tech experts sounding the alarm.
s42,Movie,Klaus,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones",Spain,Spain,2019-11-15,2019,November,2019,PG,6.7,98 Minutes,98,Minutes,"Children & Family Movies, Comedies",Children & Family Movies,A selfish postman and a reclusive toymaker form an unlikely friendship delivering joy.
s43,Movie,RRR,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt",India,India,2022-05-20,2022,May,2022,TV-MA,8.9,187 Minutes,187,Minutes,"Action & Adventure, Dramas, International Movies",Action & Adventure,A fearless warrior on a perilous mission clashes with a steely cop in pre-independent India.
s44,TV Show,Demon Slayer,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono",Japan,Japan,2021-01-22,2021,January,2021,TV-14,7.4,2 Seasons,2,Seasons,"Anime Series, International TV Shows",Anime Series,Tanjiro sets out on a perilous journey to find a cure for his demon sister.
s45,Movie,Don't Look Up,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep",United States,United States,2021-12-24,2021,December,2021,R,7.0,138 Minutes,138,Minutes,"Comedies, Dramas, Sci-Fi & Fantasy",Comedies,Two astronomers go on a giant media tour to warn mankind of an approaching comet.
s46,TV Show,Narcos,Carlo Bernard,"Wagner Moura, Pedro Pascal, Boyd Holbrook",United States,United States,2017-09-01,2017,September,2017,TV-MA,7.6,3 Seasons,3,Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",Crime TV Shows,A chronicle of the war against drug cartels and the rise and fall of Pablo Escobar.
s47,Movie,Guillermo del Toro's Pinocchio,Guillermo del Toro,"Ewan McGregor, David Bradley, Gregory Mann",United States,United States,2022-12-09,2022,December,2022,PG,7.3,117 Minutes,117,Minutes,"Animation, Children & Family Movies, Dramas",Animation,Reinvents the classic story of a wooden puppet brought to life in stop-motion.
s48,Movie,Glass Onion,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe",United States,United States,2022-12-23,2022,December,2022,PG-13,7.9,140 Minutes,140,Minutes,"Comedies, Crime Movies, Dramas",Comedies,Detective Benoit Blanc heads to Greece to peel back the layers of a mystery.
s49,TV Show,Wednesday,Tim Burton,"Jenna Ortega, Gwendoline Christie, Riki Lindhome",United States,United States,2022-11-23,2022,November,2022,TV-14,8.3,1 Seasons,1,Seasons,"TV Comedies, TV Mysteries, TV Sci-Fi & Fantasy",TV Comedies,Wednesday Addams investigates a murder spree while making friends and foes at Nevermore.
s50,TV Show,Cyberpunk: Edgerunners,Hiroyuki Imaishi,"KENN, Aoi Yuuki, Hiroki Touchi",Japan,Japan,2022-09-13,2022,September,2022,TV-MA,7.9,1 Seasons,1,Seasons,"Action & Adventure, Anime Series, Sci-Fi & Fantasy",Action & Adventure,A street kid trying to survive in a body-modification obsessed city becomes an outlaw.
s51,Movie,All Quiet on the Western Front,Edward Berger,"Felix Kammerer, Albrecht Schuch",Germany,Germany,2022-10-28,2022,October,2022,R,9.3,148 Minutes,148,Minutes,"Action & Adventure, Dramas, International Movies",Action & Adventure,A young soldier on the Western Front faces the grim reality of life in the trenches.
s52,TV Show,Alice in Borderland,Shinsuke Sato,"Kento Yamazaki, Tao Tsuchiya",Japan,Japan,2022-12-22,2022,December,2022,TV-MA,7.7,2 Seasons,2,Seasons,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",International TV Shows,An aimless gamer finds himself in a parallel Tokyo competing in sadistic games to survive.
s53,Movie,Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin",United Kingdom,United Kingdom,2020-09-23,2020,September,2020,PG-13,8.3,124 Minutes,124,Minutes,"Action & Adventure, Children & Family Movies, Comedies",Action & Adventure,Searching for her mother teen Enola Holmes uses sleuthing skills to outsmart big brother Sherlock.
s54,TV Show,Lupin,George Kay,"Omar Sy, Ludivine Sagnier, Clotilde Hesme",France,France,2021-06-11,2021,June,2021,TV-MA,7.4,2 Seasons,2,Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,Gentleman thief Assane Diop sets out to avenge his father for an injustice.
s55,TV Show,Peaky Blinders,Steven Knight,"Cillian Murphy, Sam Neill, Helen McCrory",United Kingdom,United Kingdom,2022-06-10,2022,June,2022,TV-MA,9.0,6 Seasons,6,Seasons,"British TV Shows, Crime TV Shows, TV Dramas",British TV Shows,A gang in 1919 Birmingham is led by the fierce Tommy Shelby moving up in the world.
s56,Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, R. Madhavan, Sharman Joshi",India,India,2019-08-01,2019,August,2009,PG-13,8.3,164 Minutes,164,Minutes,"Comedies, Dramas, International Movies, Romantic Movies",Comedies,Two friends search for their long-lost companion recalling memories of college days.
s57,TV Show,Cobra Kai,Josh Heald,"Ralph Macchio, William Zabka, Xolo Maridueña",United States,United States,2022-09-09,2022,September,2022,TV-14,7.3,5 Seasons,5,Seasons,"TV Action & Adventure, TV Comedies, TV Dramas",TV Action & Adventure,Decades after the tournament rivalry reignites between Johnny and Daniel.
s58,Movie,The Adam Project,Shawn Levy,"Ryan Reynolds, Mark Ruffalo, Jennifer Garner",United States,United States,2022-03-11,2022,March,2022,PG-13,9.3,106 Minutes,106,Minutes,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",Action & Adventure,Time-traveling fighter pilot Adam Reed teams up with his 12-year-old self.
s59,TV Show,Ozark,Bill Dubuque,"Jason Bateman, Laura Linney, Julia Garner",United States,United States,2022-04-29,2022,April,2022,TV-MA,6.6,4 Seasons,4,Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Crime TV Shows,A financial adviser drags his family to the Missouri Ozarks to launder 500 million dollars.
s60,TV Show,Lucifer,Tom Kapinos,"Tom Ellis, Lauren German, Kevin Alejandro",United States,United States,2021-09-10,2021,September,2021,TV-14,7.6,6 Seasons,6,Seasons,"Crime TV Shows, TV Comedies, TV Sci-Fi & Fantasy",Crime TV Shows,Bored with being the Lord of Hell the devil relocates to Los Angeles to assist police.
s61,Movie,Society of the Snow,J.A. Bayona,"Enzo Vogrincic, Agustín Pardella",Spain,Spain,2024-01-04,2024,January,2023,R,7.5,144 Minutes,144,Minutes,"Action & Adventure, Dramas, International Movies",Action & Adventure,In 1972 a rugby team's flight crashes into a glacier in the heart of the Andes.
s62,TV Show,One Piece,Matt Owens,"Iñaki Godoy, Emily Rudd, Mackenyu",United States,United States,2023-08-31,2023,August,2023,TV-14,9.1,1 Seasons,1,Seasons,"Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",Action & Adventure,Young pirate Monkey D. Luffy goes on an epic voyage for treasure in this live-action adaptation.
s63,Movie,The Boy and the Heron,Hayao Miyazaki,"Soma Santoki, Masaki Suda",Japan,Japan,2023-10-07,2023,October,2023,PG-13,9.0,124 Minutes,124,Minutes,"Anime Features, Children & Family Movies, Sci-Fi & Fantasy",Anime Features,A 12-year-old boy follows a mysterious gray heron into a world shared by the living and the dead.
s64,Movie,Leave the World Behind,Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke",United States,United States,2023-12-08,2023,December,2023,R,7.4,141 Minutes,141,Minutes,"Dramas, Sci-Fi & Fantasy, Thrillers",Dramas,A family's quiet getaway is upended when two strangers arrive bearing news of a cyberattack.
s65,TV Show,The Witcher,Lauren Schmidt Hissrich,"Henry Cavill, Anya Chalotra, Freya Allan",United States,United States,2023-07-27,2023,July,2023,TV-MA,6.6,3 Seasons,3,Seasons,"Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Action & Adventure,Geralt of Rivia a mutated monster-hunter journeys toward his destiny.
s66,TV Show,Heartstopper,Alice Oseman,"Joe Locke, Kit Connor, William Gao",United Kingdom,United Kingdom,2023-08-03,2023,August,2023,TV-14,8.7,2 Seasons,2,Seasons,"British TV Shows, Romantic TV Shows, TV Dramas",British TV Shows,Teens Charlie and Nick discover their unlikely friendship might be something more.
s67,Movie,Nimona,"Nick Bruno, Troy Quane","Chloë Grace Moretz, Riz Ahmed",United States,United States,2023-06-30,2023,June,2023,PG,7.5,101 Minutes,101,Minutes,"Action & Adventure, Children & Family Movies, Comedies",Action & Adventure,A knight framed for a crime is helped by a mischievous shapeshifting teen.
